integrated_verb,light_verb
pasear,dar un paseo
viajar,hacer un viaje
estimar,tener estima
multar,poner una multa
castigar,poner un castigo
multar,poner una multa
pisar,poner el pie
preciar,poner precio
finalizar,poner fin
remediar,poner remedio
terminar,poner término
dudar,poner en duda
probar,poner a prueba
ejemplificar,poner un ejemplo
disculparse,pedir disculpas
saltar,dar un salto
redactar,hacer una redacción
comprar,hacer la compra
negociar,hacer negocios
preguntar,hacer (una) pregunta
usar,hacer uso
copiar,hacer una copia
aterrizar,hacer un aterrizaje
bromear,hacer bromas
burlarse,hacer burla
cosquillar,hacer cosquillas
dañar,hacer daño
mencionar,hacer mención
recomendar,hacer recomendación
respirar,dar un respiro
ducharse,darse una ducha
fugarse,darse a la fuga
originar,dar origen
explicar,dar una explicación
decidir,tomar decisiones
fotografiar,tomar fotos
anotar,tomar nota
participar,tomar parte
prever,tener previsto
admirar,tener admiración
estimar,tener estima
amistar,tener amistad
soñar,tener un sueño
culpar,echar la culpa
vistar,echar un vistazo
sestear,echar una siesta
mirar,echar una mirada
volar,tomar un vuelo
disculparse,pedir disculpas
animar,subir el ánimo
